#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
Æon Flux;5.5;93;Action|Sci-Fi;Karyn Kusama;Charlize Theron;Sophie Okonedo;Paterson Joseph;based on cult favorite|disease|female hero|female protagonist|future
Abandon;4.9;99;Drama|Music|Mystery|Romance|Thriller;Stephen Gaghan;Charlie Hunnam;Zooey Deschanel;Tony Goldwyn;college|detective|disappearance|police detective|thesis
Abandoned;6.3;86;Drama;John Laing;Siobhan Marshall;Peter Feeney;Rachel Nash;boat|one word title|sea|storm|survivor
ABCD (Any Body Can Dance);6.4;160;Drama|Musical;Remo;Lauren Gottlieb;Remo;Prabhudheva;
Abduction;5;106;Action|Mystery|Thriller;John Singleton;Ken Arnold;Benjamin J. Cain Jr.;Richard Cetrone;assassin|high school|on the run|teenager|website
Aberdeen;7.3;106;Drama;Hans Petter Moland;Charlotte Rampling;Sara-Marie Maltha;Stellan Skarsgård;death|ferry|lawyer|norway|vomiting
About a Boy;7.1;101;Comedy|Drama|Romance;Chris Weitz;Sharon Small;Christopher Webster;Peter McNicholl;boy|friend|imaginary son|single father|single mother
About Last Night;6.1;100;Comedy|Romance;Steve Pink;Joe Lo Truglio;Regina Hall;Bryan Callen;bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting
About Schmidt;7.2;125;Comedy|Drama;Alexander Payne;Hope Davis;June Squibb;Howard Hesseman;highway travel|on the road|retirement|road movie|wedding
About Time;7.8;123;Drama|Fantasy|Romance;Richard Curtis;Tom Hughes;Tom Hollander;Lindsay Duncan;boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding
Abraham Lincoln: Vampire Hunter;5.9;105;Action|Fantasy|Horror;Timur Bekmambetov;Rufus Sewell;Dominic Cooper;Benjamin Walker;chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter
Absentia;5.8;87;Drama|Horror|Mystery;Mike Flanagan;Justin Gordon;Courtney Bell;Erin Cipolletti;anticipate|dead in absentia|foetus|tunnel|unreliable narration
Absolute Power;6.7;121;Action|Crime|Drama|Thriller;Clint Eastwood;Clint Eastwood;Mark Margolis;Scott Glenn;death|death of wife|murder|thief|violence
Accidental Love;4;100;Comedy|Romance;David O. Russell;Jake Gyllenhaal;Kirstie Alley;Beverly D'Angelo;health insurance|long delayed release|nail in the head|waitress|washington d.c.
Ace Ventura: Pet Detective;6.9;78;Comedy;Tom Shadyac;Sean Young;Udo Kier;David Margulies;detective|dolphin|mascot|nudity|stupidity
Ace Ventura: When Nature Calls;6.3;90;Adventure|Comedy;Steve Oedekerk;Bruce Spence;Bob Gunton;Sophie Okonedo;africa|bat|hawaiian shirt|pregnancy|pregnant
Across the Universe;7.4;133;Drama|Fantasy|Musical|Romance;Julie Taymor;Jim Sturgess;T.V. Carpio;Robert Clohessy;anti war|liverpool|love|protest|song
Across the Universe;7.4;133;Drama|Fantasy|Musical|Romance;Julie Taymor;Jim Sturgess;T.V. Carpio;Robert Clohessy;anti war|liverpool|love|protest|song
Act of Valor;6.5;110;Action|Adventure|Drama|Thriller|War;Mike McCoy;Alex Veadov;Jason Cottle;Rorke Denver;mission|navy seal|terrorist|torture|valor
Action Jackson;5.2;96;Action|Comedy|Crime|Thriller;Craig R. Baxley;Bill Duke;Vanity;Carl Weathers;murder|power|psychotronic|tough cop|union
Adam;7.2;99;Drama|Romance;Max Mayer;Peter Gallagher;Terry Walters;Amy Irving;apartment|asperger's syndrome|children|teacher|writer
Adam Resurrected;6.3;106;Drama|War;Paul Schrader;Veronica Ferres;Ayelet Zurer;Derek Jacobi;circus|dog|entertainer|holocaust|patient
Adaptation.;7.7;81;Comedy|Drama;Spike Jonze;Nicolas Cage;Meryl Streep;Roger Willie;book|orchid|screenwriter|thief|twin
Addicted;5.2;106;Drama|Thriller;Bille Woodruff;Boris Kodjoe;Cameron Mills;Sharon Leal;adultery|attraction|lust|obsession|temptation
Admission;5.7;107;Comedy|Drama|Romance;Paul Weitz;Tina Fey;Sarita Choudhury;Christopher Evan Welch;adoption|female protagonist|princeton university|wedding|working women
Adore;6.2;112;Drama|Romance;Anne Fontaine;Robin Wright;Naomi Watts;Ben Mendelsohn;beach|friend|friendship|happiness|neighbor
Adulterers;4.9;91;Crime|Drama|Thriller;H.M. Coakley;Mehcad Brooks;Steffinnie Phrommany;Danielle Savre;cheating husband|female nudity|male nudity|male rear nudity|revenge
Adventureland;6.8;107;Comedy|Drama|Romance;Greg Mottola;Kristen Stewart;Martin Starr;Wendie Malick;amusement park|strong female character|summer job|teen movie|teenager
After;5.4;90;Fantasy|Horror|Mystery|Thriller;Ryan Smith;Sandra Ellis Lafferty;Madison Lintz;Karolina Wydra;coma|crash
After Earth;4.9;100;Action|Adventure|Sci-Fi;M. Night Shyamalan;Will Smith;Zoë Kravitz;Glenn Morshower;box office flop|father son team|fear|race against time|real life father and son playing father and son
After the Sunset;6.3;97;Action|Comedy|Crime|Drama;Brett Ratner;Salma Hayek;Don Cheadle;Chris Penn;diamond|fbi|fbi agent|island|thief
After.Life;5.9;104;Drama|Horror|Mystery|Thriller;Agnieszka Wojtowicz-Vosloo;Liam Neeson;Josh Charles;Chandler Canterbury;breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer
Against the Ropes;5.3;110;Biography|Drama|Romance|Sport;Charles S. Dutton;Omar Epps;Charles S. Dutton;Tim Daly;boxer|boxing|boxing arena|boxing manager|directed by co star
Against the Wild;4.7;90;Adventure|Family;Richard Boddington;Natasha Henstridge;CJ Adams;Erin Pitt;cave|salmon
Agent Cody Banks;5;102;Action|Adventure|Comedy|Crime|Family|Romance|Thriller;Harald Zwart;Daniel Roebuck;Frankie Muniz;Chris Gauthier;cia|nanobot|prep school|scientist|teenager
Agent Cody Banks 2: Destination London;4.5;100;Action|Adventure|Comedy|Family|Romance|Sci-Fi;Kevin Allen;Daniel Roebuck;Frankie Muniz;David Kelly;chase|evil scientist|gadget|mind control|tough girl
Agora;7.2;141;Adventure|Drama|History|Romance;Alejandro Amenábar;Max Minghella;Ashraf Barhom;Rupert Evans;christian|love|philosophy|prefect|slave
Aimee & Jaguar;7.3;125;Biography|Drama|Romance|War;Max Färberböck;Heike Makatsch;Johanna Wokalek;Maria Schrader;lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism
Air Bud;5.1;98;Comedy|Drama|Family|Sport;Charles Martin Smith;Kevin Zegers;Bill Cobbs;Michael Jeter;basketball|boy|dog|dog movie|golden retriever
Air Force One;6.4;124;Action|Adventure|Drama|Thriller;Wolfgang Petersen;Harrison Ford;Gary Oldman;Dean Stockwell;ex soldier|hijacker|hostage|president|terrorist
Airborne;6.2;91;Adventure|Comedy|Sport;Rob Bowman;Alanna Ubach;Jacob Vargas;Brittney Powell;cincinnati ohio|high school|hockey|jock strap|zoologist
Airlift;8.5;130;Action|Drama|History|Thriller|War;Raja Menon;Nimrat Kaur;Sameer Ali Khan;Purab Kohli;1990s|businessman|evacuation|historical fiction|kuwait
Airplane!;7.8;88;Comedy;Jim Abrahams;Peter Graves;Lloyd Bridges;Barbara Billingsley;air traffic controller|airplane|airport|pilot|spoof
Ajami;7.4;124;Crime|Drama;Scandar Copti;Shahir Kabaha;Scandar Copti;Ranin Karim;arab|christian|israeli|palestinian|violence
Akeelah and the Bee;7.5;112;Drama;Doug Atchison;Curtis Armstrong;Sean Michael Afable;Tzi Ma;national spelling bee|principal|school principal|spelling|spelling bee
Akira;8.1;124;Action|Animation|Sci-Fi;Katsuhiro Ôtomo;Mitsuo Iwata;Takeshi Kusao;Tesshô Genda;based on manga|biker gang|gifted child|post thermonuclear war|science runs amok
Aladdin;8;90;Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance;Ron Clements;Robin Williams;Frank Welker;Scott Weinger;arab|genie|magic|princess|reference to a thousand and one nights
Albert Nobbs;6.7;113;Drama;Rodrigo García;Mia Wasikowska;Michael McElhatton;Mark Williams;19th century|hotel|painter|waiter|woman pretending to be a man
Albino Alligator;6.1;97;Crime|Drama|Thriller;Kevin Spacey;Viggo Mortensen;Joe Mantegna;Faye Dunaway;bar|box office flop|hostage|new orleans louisiana|police
Alex & Emma;5.6;96;Comedy|Romance;Rob Reiner;David Paymer;Lobo Sebastian;Robert Costanzo;gambling|novel|stenographer|writer|writer's block
Alex Cross;5.1;101;Action|Crime|Mystery|Thriller;Rob Cohen;Cicely Tyson;Chad Lindberg;Carmen Ejogo;assassin|detective|partner|police|serial killer
Alex Rider: Operation Stormbreaker;5.1;93;Action|Adventure|Family|Thriller;Geoffrey Sax;Alex Pettyfer;Sophie Okonedo;Ashley Walters;14 year old|british|gadget|spy|training
Alexander;5.5;206;Action|Adventure|Biography|Drama|History|Romance|War;Oliver Stone;Anthony Hopkins;Angelina Jolie Pitt;Brian Blessed;ancient greece|conquest|greek|greek myth|king
Alexander and the Terrible, Horrible, No Good, Very Bad Day;6.2;81;Comedy|Family;Miguel Arteta;Bella Thorne;Steve Carell;Jennifer Garner;bad day|based on book|birthday|job interview|long title
Alexander's Ragtime Band;7;106;Drama|Musical|Romance;Henry King;Tyrone Power;Don Ameche;John Carradine;band|dance|ragtime|singer|violinist
Alfie;6.2;103;Comedy|Drama|Romance;Charles Shyer;Omar Epps;Nia Long;Jane Krakowski;best friend|commitment|friend|limousine driver|one night stand
Ali;6.8;165;Biography|Drama|Sport;Michael Mann;Will Smith;Jada Pinkett Smith;Joe Morton;african american protagonist|african americans|boxing gym|gym|rumble in the jungle
Alias Betty;6.9;103;Comedy|Crime|Drama|Romance|Thriller;Claude Miller;Sandrine Kiberlain;Edouard Baer;Roschdy Zem;child|criminal|death|depression|novelist
Alice in Wonderland;6.5;108;Adventure|Family|Fantasy;Tim Burton;Johnny Depp;Alan Rickman;Anne Hathaway;alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion
Alice in Wonderland;6.5;108;Adventure|Family|Fantasy;Tim Burton;Johnny Depp;Alan Rickman;Anne Hathaway;alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion
Alice Through the Looking Glass;6.4;113;Adventure|Family|Fantasy;James Bobin;Johnny Depp;Alan Rickman;Anne Hathaway;clock|dark fantasy|mad hatter|queen|sequel
Alien;8.5;116;Horror|Sci-Fi;Ridley Scott;Tom Skerritt;Yaphet Kotto;Bolaji Badejo;alien|creature|future|outer space|spaceship
Alien 3;6.4;145;Action|Horror|Sci-Fi;David Fincher;Charles S. Dutton;Holt McCallany;Paul McGann;alien|crash|planet|prison|survivor
Alien Uprising;3.1;101;Comedy|Sci-Fi;Dominic Burns;Julian Glover;Sean Pertwee;Bianca Brigitte VanDamme;acronym in title|period in title|title ends with period
Alien Zone;4.1;79;Horror;Sharron Miller;Bernard Fox;Elizabeth MacRae;Charles Aidman;affair|child murderer|mortician|strangulation|supernatural power
Alien: Resurrection;6.3;116;Action|Horror|Sci-Fi;Jean-Pierre Jeunet;Gary Dourdan;Michael Wincott;Raymond Cruz;alien|blood|breeding|clone|scientist
Aliens;8.4;154;Action|Adventure|Sci-Fi;James Cameron;Michael Biehn;Carrie Henn;Jenette Goldstein;alien|human versus alien|monster|rescue mission|space marine
Aliens in the Attic;5.4;86;Adventure|Comedy|Family|Fantasy|Sci-Fi;John Schultz;Malese Jow;Carter Jenkins;Tim Meadows;alien|attic|boyfriend|mind control|nintendo ds
Aliens vs. Predator: Requiem;4.7;102;Action|Horror|Sci-Fi|Thriller;Colin Strause;Sam Trammell;Johnny Lewis;Ian Whyte;alien|escape|hunting|hybrid|predator
Alive;7.1;120;Adventure|Biography|Drama|Thriller;Frank Marshall;Illeana Douglas;Danny Nucci;Michael DeLorenzo;andes mountains|crash|death|starvation|stranded
All About Steve;4.8;99;Comedy|Romance;Phil Traill;Bradley Cooper;Katy Mixon;Beth Grant;blind date|crossword puzzle|eccentric|fall|mine shaft
All About the Benjamins;5.7;95;Action|Comedy|Crime|Thriller;Kevin Bray;Mike Epps;Roger Guenveur Smith;Gino Salvano;black comedy|bounty hunter|diamond|machismo|money
All Good Things;6.3;101;Crime|Drama|Mystery|Romance|Thriller;Andrew Jarecki;Ryan Gosling;Kirsten Dunst;Frank Langella;family business|friend|murder|new york city|trial
All Hat;5.3;89;Western;Leonard Farlinger;Keith Carradine;Gary Farmer;Stephen McHattie;contemporary west|cowboy|horse|jockey|neo western
All Is Bright;5.6;107;Comedy|Drama;Phil Morrison;Sally Hawkins;Curtiss Cook;Peter Hermann;christmas tree|french canadian|new york|salesman
All Is Lost;6.9;106;Action|Adventure|Drama;J.C. Chandor;Robert Redford;;;boat|container|sea|shipping container|storm
All or Nothing;7.6;121;Drama;Mike Leigh;Lesley Manville;Ruth Sheen;Gary McDonald;love|neighbor|single parent|supermarket|working class
All Superheroes Must Die;4;78;Sci-Fi|Thriller;Jason Trost;Sean Whalen;Jason Trost;Nick Principe;arch villain|game of death|kidnapping|superhero
All That Jazz;7.8;123;Comedy|Drama|Music|Musical;Bob Fosse;Roy Scheider;Ben Vereen;Max Wright;dancer|editing|stand up comedian|surgery|vomiting
All the Boys Love Mandy Lane;5.6;90;Horror;Jonathan Levine;Luke Grimes;Michael Welch;Whitney Able;drugs|female nudity|party|voyeur|voyeurism
All the King's Men;6.2;128;Drama|Thriller;Steven Zaillian;Kate Winslet;Anthony Hopkins;Kevin Dunn;governor|journalist|louisiana|mistress|politician
All the Pretty Horses;5.8;220;Drama|Romance|Western;Billy Bob Thornton;Matt Damon;Henry Thomas;Sam Shepard;1940s|cowboy|mexico|railway station|texas
All the Queen's Men;4.5;105;Action|Comedy|Drama|War;Stefan Ruzowitzky;Eddie Izzard;Udo Kier;Edward Fox;apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title
All the Real Girls;6.9;108;Drama|Romance;David Gordon Green;Zooey Deschanel;Paul Schneider;Shea Whigham;best friend|lake|love|small town|womanizer
Allegiant;5.8;120;Action|Adventure|Mystery|Sci-Fi|Thriller;Robert Schwentke;Naomi Watts;Theo James;Zoë Kravitz;based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead
Alleluia! The Devil's Carnival;7.4;97;Horror|Musical;Darren Lynn Bousman;Paul Sorvino;Barry Bostwick;Terrance Zdunich;carnival|devil|redemption|reference to god
Almost Famous;7.9;152;Adventure|Comedy|Drama|Music;Cameron Crowe;Philip Seymour Hoffman;Zooey Deschanel;Michael Angarano;band|magazine|rolling stone magazine|smoking marijuana|tour
Aloft;5.3;97;Drama;Claudia Llosa;Ian Tracey;Zen McGrath;William Shimell;
Aloha;5.4;105;Comedy|Drama|Romance;Cameron Crowe;Emma Stone;Bradley Cooper;Bill Murray;box office flop|critically bashed|hawaii|one word title|written by director
Aloha;5.4;105;Comedy|Drama|Romance;Cameron Crowe;Emma Stone;Bradley Cooper;Bill Murray;box office flop|critically bashed|hawaii|one word title|written by director
Alone in the Dark;2.3;94;Horror|Sci-Fi;Uwe Boll;Catherine Lough Haggquist;Darren Shahlavi;Karin Konoval;artifact|creature|darkness|demon|museum
Alone with Her;6.1;78;Crime|Drama|Thriller;Eric Nicholas;Jordana Spiro;Ana Claudia Talancón;Jonathon Trent;female nudity|female pubic hair|masturbation|panties|pubic hair
Along Came a Spider;6.3;104;Crime|Drama|Thriller;Lee Tamahori;Morgan Freeman;Billy Burke;Monica Potter;kidnapping|partner|ransom|school|secret service
Along Came Polly;5.9;90;Comedy|Romance;John Hamburg;Philip Seymour Hoffman;Masi Oka;Debra Messing;bride|friend|honeymoon|insurance|insurance company
Along the Roadside;7.1;108;Comedy|Music|Romance;Zoran Lisinac;Matthew Emerick;Brock Baker;Sheldon Bailey;
Alpha and Omega;5.3;90;Adventure|Animation|Comedy|Family|Romance;Anthony Bell;Kevin Sussman;Larry Miller;Christine Lakin;arranged marriage|geese|idaho|national park|park
Alpha and Omega 4: The Legend of the Saw Toothed Cave;6;45;Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller;Richard Rich;Debi Derryberry;Kate Higgins;Cindy Robinson;blindness|cave|spirit|wolf|wolf cub
Alvin and the Chipmunks;5.2;92;Animation|Comedy|Family|Fantasy|Music;Tim Hill;Jesse McCartney;Beth Riesgraf;Matthew Gray Gubler;based on cartoon|chipmunk|concert|fart joke|talking animal
Alvin and the Chipmunks: Chipwrecked;4.4;87;Adventure|Animation|Comedy|Family|Fantasy|Music;Mike Mitchell;Amy Poehler;Jesse McCartney;Lauren Gottlieb;chipmunk|cruise ship|football ball|overboard|tennis ball
Alvin and the Chipmunks: The Road Chip;5;92;Adventure|Animation|Comedy|Family|Fantasy|Music;Walt Becker;Bella Thorne;Joshua Mikel;Jesse McCartney;chipmunk|highway travel|on the road|plane|road movie
Alvin and the Chipmunks: The Squeakquel;4.5;88;Animation|Comedy|Family|Fantasy|Music;Betty Thomas;Amy Poehler;Bridgit Mendler;Jesse McCartney;adidas|chipmunk|hospital|school|waste container
Always Woodstock;5.3;97;Comedy|Music|Romance;Rita Merson;Ryan Guzman;James Wolk;Jason Ritter;claim in title|contraction in title|new york|new york city|woodstock
Amélie;8.4;122;Comedy|Romance;Jean-Pierre Jeunet;Mathieu Kassovitz;Jamel Debbouze;Isabelle Nanty;cheerfulness|female protagonist|garden gnome|magical realism|waitress
Amadeus;8.3;180;Biography|Drama|History|Music;Milos Forman;Jeffrey Jones;F. Murray Abraham;Tom Hulce;1800s|classical composer|composer|first person narration|opera
Amen.;7.3;132;Biography|Crime|Drama|War;Costa-Gavras;Sebastian Koch;Mathieu Kassovitz;Ulrich Mühe;jesuit|jew|pope|priest|ss
America Is Still the Place;7.5;90;History;Patrick Gilles;Emma Caulfield;Dylan Baker;Mike Colter;
American Beauty;8.4;122;Drama;Sam Mendes;Kevin Spacey;Peter Gallagher;Ara Celi;domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness
American Desi;6.7;100;Comedy|Drama|Romance;Piyush Dinker Pandya;Purva Bedi;Rizwan Manji;Anil Kumar;college|desi|heritage|india|indian american
American Dreamz;5.5;107;Comedy|Music;Paul Weitz;Judy Greer;Dennis Quaid;Chris Klein;chief of staff|contest|president|singing|terrorist
American Gangster;7.8;176;Biography|Crime|Drama;Ridley Scott;Denzel Washington;Ruby Dee;RZA;death|heroin|popcorn|smuggling|vietnam
American Graffiti;7.5;112;Comedy|Drama|Music;George Lucas;Harrison Ford;Ron Howard;Mackenzie Phillips;california|car|drag racing|high school|rock 'n' roll
American Heist;5.2;94;Action|Crime|Drama|Thriller;Sarik Andreasyan;Hayden Christensen;Jordana Brewster;Akon;bank|critically bashed|heist|mechanic|prison
American Hero;4.9;86;Action|Comedy|Drama|Sci-Fi;Nick Love;Eddie Griffin;Christopher Berry;Michelle Tabora;father son relationship|female nudity|mother daughter relationship|reconciliation|superhero
American History X;8.6;101;Crime|Drama;Tony Kaye;Ethan Suplee;Beverly D'Angelo;Stacy Keach;curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist
American Hustle;7.3;138;Crime|Drama;David O. Russell;Jennifer Lawrence;Christian Bale;Bradley Cooper;based on true story|con artist|drunk wife|fbi investigation|scam
American Ninja 2: The Confrontation;4.7;90;Action|Drama;Sam Firstenberg;Michael Dudikoff;Steve James;Larry Poindexter;blood splatter|island|motorboat|ninja|sequel to cult film
American Outlaws;6;94;Action|Western;Les Mayfield;Gregory Smith;Ronny Cox;Harris Yulin;legend|old west|outlaw|railroad|stealing from the rich
American Pie;7;95;Comedy;Paul Weitz;Alyson Hannigan;Shannon Elizabeth;Natasha Lyonne;1990s|first love|milf|prom|virginity
American Pie 2;6.4;108;Comedy;J.B. Rogers;Alyson Hannigan;Shannon Elizabeth;Natasha Lyonne;beach|beach house|college|party|student
American Psycho;7.6;102;Crime|Drama;Mary Harron;Christian Bale;Justin Theroux;Samantha Mathis;1980s|business card|male rear nudity|materialism|narcissism
American Reunion;6.7;113;Comedy;Jon Hurwitz;Alyson Hannigan;Dania Ramirez;Natasha Lyonne;bikini|female female kiss|high school reunion|outdoor sex|upskirt
American Sniper;7.3;133;Action|Biography|Drama|History|Thriller|War;Clint Eastwood;Bradley Cooper;Leonard Roberts;Keir O'Donnell;assassin|death of child|iraq|sniper|sniper rifle
American Splendor;7.5;101;Biography|Comedy|Drama;Shari Springer Berman;Josh Hutcherson;James Urbaniak;Daniel Tay;1980s|comic book|dark horse comics|reference to david letterman|robert crumb
American Wedding;6.3;74;Comedy|Romance;Jesse Dylan;Alyson Hannigan;Thomas Ian Nicholas;Fred Willard;bachelor party|blow job|breasts|friend|wedding
America's Sweethearts;5.7;102;Comedy|Romance;Joe Roth;Julia Roberts;Rainn Wilson;Larry King;actor|love|movie star|press|publicist
